# Simulation 1 (Up to date)
# 1343 data points written for 3 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (68.7 ft/s)
#
# Time (s),Altitude (ft),Total velocity (ft/s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0
0.01,0.0055168,1.1076
0.02,0.036226,5.0579
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.11208,10.172
0.04,0.23895,15.298
0.05,0.41692,20.434
0.06,0.64604,25.565
0.07,0.9262,30.682
0.08,1.2573,35.783
0.09,1.6391,40.869
0.1,2.0714,45.94
0.11,2.5543,51.001
0.12,3.0876,56.067
0.13,3.6714,61.139
0.14,4.3057,66.218
0.15,4.9907,71.303
0.16,5.7264,76.394
0.17,6.5128,81.491
0.18,7.35,86.595
0.19,8.2381,91.704
0.2,9.1772,96.82
0.21,10.167,101.94
0.22,11.208,107.07
0.23,12.301,112.21
0.24,13.444,117.35
0.25,14.639,122.49
0.26,15.884,127.65
0.27,17.182,132.81
0.28,18.531,137.97
# Event LAUNCHROD occurred at t=0.29 seconds
0.29,19.931,143.14
0.305,22.128,150.91
0.3275,25.641,162.59
0.36125,31.402,180.16
0.41125,41.024,206.32
0.46125,51.952,232.64
0.51125,64.195,259.14
0.56125,77.76,285.8
0.61125,92.656,312.62
0.66125,108.89,339.61
0.71125,126.47,366.75
0.76125,145.41,394.05
0.81125,165.72,421.51
0.86125,187.4,449.11
0.91125,210.45,476.86
0.96125,234.9,504.75
1.0113,260.75,532.77
1.0613,288,560.93
1.1113,316.66,589.21
1.1613,346.74,617.57
1.2113,378.24,645.95
1.2613,411.17,674.37
1.3113,445.52,702.82
1.3613,481.29,731.29
1.4113,518.49,759.8
1.4613,557.12,788.33
1.5113,597.17,816.88
1.5613,638.65,845.43
1.6113,681.56,873.95
1.6613,725.89,902.34
1.7113,771.62,930.59
1.7613,818.77,958.71
1.8113,867.31,986.67
1.8613,917.25,1014.5
1.9113,968.57,1042.2
1.9613,1021.3,1069.6
2.0113,1075.3,1097
2.0613,1130.8,1123.9
2.1113,1187.5,1150.5
2.1613,1245.6,1176.6
2.2113,1305,1202.5
2.2613,1365.7,1228.1
2.3113,1427.6,1253.4
2.3612,1490.8,1278.5
2.4112,1555.2,1303.4
2.4612,1620.9,1328.1
2.5112,1687.8,1352.6
2.5612,1756,1377
2.6112,1825.3,1401.1
2.6612,1895.8,1424.6
2.7112,1967.5,1446.3
2.7612,2040.2,1466.2
2.8112,2113.9,1484.4
2.8612,2188.4,1500.7
2.9112,2263.7,1515.2
2.9612,2339.6,1527.9
3.0112,2416.2,1538.7
3.0612,2493.3,1548.2
3.1112,2570.8,1556.7
3.1612,2648.7,1564.3
3.2112,2726.9,1570.8
3.2612,2805.5,1575.6
3.3112,2884.2,1578.6
3.3612,2963.1,1579.7
